CCAA;Nombre CCAA;Cod_Provincia_INE;Cod_Provincia_Catastro;Nombre Provincia;Cod_Municipio_Ine_Corto;Cod_Municipio_Ine;Cod_Municipio_Catastro;Nombre Municipio_Ine;Nombre Municipio_Catastro;;;;;;;;
17;COMUNIDAD VALENCIANA;12;12;CASTELLÓN/CASTELLÓ;2;0022;2;AIN;AIN;;;;;;;;
02;ARAGÓN;22;22;HUESCA;907;9074;9;AINSA-SOBRARBE;AINSA-SOBRARBE;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;6;0068;6;AINZON;AINZON;;;;;;;;
02;ARAGÓN;22;22;HUESCA;6;0067;10;AISA;AISA;;;;;;;;
09;CATALUÑA;25;25;LLEIDA;38;0387;46;AITONA;AITONA;;;;;;;;
15;PAIS VASCO;20;20;GIPUZKOA;3;0034;3;AIZARNAZABAL;AIZARNAZABAL;;;;;;;;
12;COMUNIDAD DE MADRID;28;28;MADRID;2;0029;2;AJALVIR;AJALVIR;;;;;;;;
16;LA RIOJA;26;26;RIOJA (LA);4;0048;4;AJAMIL DE CAMEROS;AJAMIL DE CAMEROS;;;;;;;;
15;PAIS VASCO;48;48;BIZKAIA;911;9119;911;AJANGIZ;AJANGIZ;;;;;;;;
07;CASTILLA LA MANCHA;45;45;TOLEDO;1;0015;1;AJOFRIN;AJOFRIN;;;;;;;;
02;ARAGÓN;44;44;TERUEL;6;0064;6;ALACON;ALACON;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;7;0074;7;ALADREN;ALADREN;;;;;;;;
08;CASTILLA Y LEÓN;47;47;VALLADOLID;4;0040;4;ALAEJOS;ALAEJOS;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;8;0080;8;ALAGON;ALAGON;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;224;9037;224;ALAGON DEL RIO;ALAGON DEL RIO;;;;;;;;
04;ISLAS BALEARES;07;7;ILLES BALEARS;2;0027;2;ALAIOR;ALAIOR;;;;;;;;
01;ANDALUCIA;21;21;HUELVA;1;0010;1;ALAJAR;ALAJAR;;;;;;;;
05;ISLAS CANARIAS;38;38;SANTA CRUZ DE TENERIFE;3;0033;3;ALAJERO;ALAJERO;;;;;;;;
01;ANDALUCIA;29;29;MÁLAGA;1;0017;1;ALAMEDA;ALAMEDA;;;;;;;;
07;CASTILLA LA MANCHA;45;45;TOLEDO;2;0020;2;ALAMEDA DE LA SAGRA;ALAMEDA DE LA SAGRA;;;;;;;;
12;COMUNIDAD DE MADRID;28;28;MADRID;3;0035;3;ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;2;0021;3;ALAMEDILLA;ALAMEDILLA;;;;;;;;
07;CASTILLA LA MANCHA;13;13;CIUDAD REAL;3;0034;3;ALAMILLO;ALAMILLO;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;4;0045;5;ALAMINOS;ALAMINOS;;;;;;;;
10;EXTREMADURA;06;6;BADAJOZ;4;0042;4;ALANGE;ALANGE;;;;;;;;
01;ANDALUCIA;41;41;SEVILLA;2;0021;2;ALANIS;ALANIS;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;5;0057;5;ALAQUAS;ALAQUAS;;;;;;;;
08;CASTILLA Y LEÓN;34;34;PALENCIA;5;0053;5;ALAR DEL REY;ALAR DEL REY;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;7;0074;7;ALARAZ;ALARAZ;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;9;0093;9;ALARBA;ALARBA;;;;;;;;
07;CASTILLA LA MANCHA;16;16;CUENCA;3;0035;3;ALARCON;ALARCON;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;5;0058;6;ALARILLA;ALARILLA;;;;;;;;
04;ISLAS BALEARES;07;7;ILLES BALEARS;1;0012;1;ALARO;ALARO;;;;;;;;
09;CATALUÑA;25;25;LLEIDA;5;0058;5;ALAS I CERC;ALAS I CERC;;;;;;;;
07;CASTILLA LA MANCHA;02;2;ALBACETE;2;0024;2;ALATOZ;ALATOZ;;;;;;;;
08;CASTILLA Y LEÓN;34;34;PALENCIA;6;0066;6;ALBA DE CERRATO;ALBA DE CERRATO;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;8;0080;8;ALBA DE TORMES;ALBA DE TORMES;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;9;0093;9;ALBA DE YELTES;ALBA DE YELTES;;;;;;;;
02;ARAGÓN;44;44;TERUEL;7;0070;7;Alba;ALBA DEL CAMPO;;;;;;;;
07;CASTILLA LA MANCHA;02;2;ALBACETE;3;0030;900;ALBACETE;ALBACETE;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;6;0060;6;ALBAIDA;ALBAIDA;;;;;;;;
01;ANDALUCIA;41;41;SEVILLA;3;0037;3;ALBAIDA DEL ALJARAFE;ALBAIDA DEL ALJARAFE;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;7;0076;7;ALBAL;ALBAL;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;7;0073;7;ALBALA;ALBALA;;;;;;;;
07;CASTILLA LA MANCHA;13;13;CIUDAD REAL;4;0049;4;ALBALADEJO;ALBALADEJO;;;;;;;;
07;CASTILLA LA MANCHA;16;16;CUENCA;4;0040;4;ALBALADEJO DEL CUENDE;ALBALADEJO DEL CUENDE;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;8;0082;8;ALBALAT DE LA RIBERA;ALBALAT DE LA RIBERA;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;9;0095;9;ALBALAT DELS SORELLS;ALBALAT DELS SORELLS;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;10;0109;10;ALBALAT DELS TARONGERS;ALBALAT DELS TARONGERS;;;;;;;;
02;ARAGÓN;22;22;HUESCA;7;0073;11;ALBALATE DE CINCA;ALBALATE DE CINCA;;;;;;;;
07;CASTILLA LA MANCHA;16;16;CUENCA;5;0053;5;ALBALATE DE LAS NOGUERAS;ALBALATE DE LAS NOGUERAS;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;6;0061;7;ALBALATE DE ZORITA;ALBALATE DE ZORITA;;;;;;;;
02;ARAGÓN;44;44;TERUEL;8;0086;8;ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;;;;;;;;
02;ARAGÓN;22;22;HUESCA;8;0089;12;ALBALATILLO;ALBALATILLO;;;;;;;;
01;ANDALUCIA;04;4;ALMERÍA;4;0046;4;ALBANCHEZ;ALBANCHEZ;;;;;;;;
01;ANDALUCIA;23;23;JAÉN;1;0011;1;ALBANCHEZ DE MAGINA;ALBANCHEZ DE MAGINA;;;;;;;;
09;CATALUÑA;17;17;GIRONA;3;0031;3;ALBANYA;ALBANYA;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;7;0077;8;ALBARES;ALBARES;;;;;;;;
02;ARAGÓN;44;44;TERUEL;9;0099;9;ALBARRACIN;ALBARRACIN;;;;;;;;
07;CASTILLA LA MANCHA;45;45;TOLEDO;3;0036;3;ALBARREAL DE TAJO;ALBARREAL DE TAJO;;;;;;;;
07;CASTILLA LA MANCHA;02;2;ALBACETE;4;0045;4;ALBATANA;ALBATANA;;;;;;;;
09;CATALUÑA;25;25;LLEIDA;7;0077;7;ALBATARREC;ALBATARREC;;;;;;;;
17;COMUNIDAD VALENCIANA;03;3;ALICANTE/ALACANT;5;0054;5;ALBATERA;ALBATERA;;;;;;;;
02;ARAGÓN;22;22;HUESCA;9;0092;13;ALBELDA;ALBELDA;;;;;;;;
16;LA RIOJA;26;26;RIOJA (LA);5;0051;5;ALBELDA DE IREGUA;ALBELDA DE IREGUA;;;;;;;;
07;CASTILLA LA MANCHA;16;16;CUENCA;6;0066;6;ALBENDEA;ALBENDEA;;;;;;;;
